Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2
49.51952,64,29.01,81571,55,55,116.36,3169.25,1,0
49.579582,60.6,29.01,83991,55,55,110.18,3004.52,1,0
49.489491,65.2,29.01,84084,56,56,116.43,3226.71,1,0
49.489491,66.2,29.03,84308,56,56,118.21,3276.2,1,0
49.579582,64,29.03,83927,56,56,114.29,3173.09,1,0
49.51952,62.4,29.03,83760,56,56,111.43,3090.02,1,0
49.219219,77.4,29.06,84668,58,58,133.45,3809.57,1,0
49.429432,71.4,29.08,85856,58,58,123.1,3529.26,1,0
49.33934,68.6,29.11,86170,58,58,118.28,3384.68,1,0
49.459461,68.6,29.11,85968,58,58,118.28,3392.92,1,0
49.03904,77.8,29.14,86681,60,60,129.67,3815.24,1,0
49.36937,81.2,29.14,88202,60,60,135.33,4008.79,1,0
49.249252,75.6,29.14,89279,60,60,126,3723.24,1,0
49.36937,74.6,29.19,88776,60,60,124.33,3682.96,1,0
48.978981,86.8,29.19,89301,62,62,140,4251.38,1,0
48.978981,83.8,29.19,90369,62,62,135.16,4104.44,1,0
49.18919,83.2,29.24,90861,62,62,134.19,4092.54,1,0
49.18919,82.8,29.24,91807,62,62,133.55,4072.86,1,0
49.129131,82.6,29.24,91403,62,62,133.23,4058.07,1,0
48.918919,96,29.29,92402,64,64,150,4696.22,1,0
49.00901,90.4,29.32,93039,64,64,141.25,4430.41,1,0
49.03904,85.6,29.34,93557,64,64,133.75,4197.74,1,0
49.099102,85,29.34,94294,64,64,132.81,4173.42,1,0
48.978981,91.8,29.4,94865,65,65,141.23,4496.27,1,0
49.03904,92.2,29.4,95875,65,65,141.85,4521.4,1,0
48.978981,92.2,29.4,96335,65,65,141.85,4515.86,1,0
48.918919,91,29.42,95976,65,65,140,4451.62,1,0
48.618618,105.6,29.45,96697,67,67,157.61,5134.13,1,0
48.768768,98.8,29.47,96972,67,67,147.46,4818.35,1,0
48.798801,96.2,29.5,97176,67,67,143.58,4694.44,1,0
48.978981,97,29.53,98121,67,67,144.78,4750.96,1,0
48.918919,94.2,29.53,97646,67,67,140.6,4608.16,1,0
48.978981,93.6,29.53,97458,67,67,139.7,4584.43,1,0
48.888889,94.8,29.53,97128,67,67,141.49,4634.67,1,0
49.00901,94.8,29.55,97902,67,67,141.49,4646.05,1,0
48.85886,94.2,29.58,97649,67,67,140.6,4602.5,1,0
48.85886,94.8,29.58,99208,67,67,141.49,4631.82,1,0
48.828831,93.8,29.6,97616,67,67,140,4580.14,1,0
48.798801,92.8,29.66,97365,67,67,138.51,4528.53,1,0
48.828831,94.4,29.66,97513,67,67,140.9,4609.44,1,0
48.588589,108.8,29.71,98822,69,69,157.68,5286.44,1,0
48.588589,104.4,29.71,99139,69,69,151.3,5072.65,1,0
48.648651,105.6,29.74,99889,69,69,153.04,5137.3,1,0
48.648651,103.4,29.76,100234,69,69,149.86,5030.27,1,0
48.70871,101.4,29.76,100015,69,69,146.96,4939.06,1,0
48.52853,108.8,29.81,101030,70,70,155.43,5279.9,1,0
48.618618,107.6,29.84,101074,70,70,153.71,5231.36,1,0
48.70871,105.4,29.87,101748,70,70,150.57,5133.9,1,0
48.618618,105.6,29.87,101331,70,70,150.86,5134.13,1,0
48.558559,112.2,29.89,101805,71,71,158.03,5448.27,1,0
48.618618,110,29.94,102920,71,71,154.93,5348.05,1,0
48.648651,108.4,29.94,103261,71,71,152.68,5273.51,1,0
48.558559,106.6,30.1,101965,72,71,150.14,5176.34,1,0
48.37838,118.8,30.1,103273,72,72,165,5747.35,1,0
